Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pawpath-portable-slow-feeder-lick-mat,PawPath Portable Slow Feeder Lick Mat,"<p>Turn snack time into a slower, more focused routine at home or on the go. This portable slow feeder and lick mat is designed for treats, wet food, peanut butter-style spreads, and supervised enrichment breaks.</p><ul><li>Helps slow down treat and meal time</li><li>Great for travel, post-walk breaks, and crate training routines</li><li>Flexible, easy-clean design</li><li>Compact enough for day trips and car rides</li><li>Works with soft treats, spreads, and wet food</li></ul>",PawPath Supply,Animals & Pet Supplies > Pet Supplies,Dog Feeding Accessories,"feeding, enrichment, travel, bestseller",TRUE,Color,Sage,,,,,PPS-SFLM-SAGE,250,,0,continue,manual,29.95,39.95,TRUE,TRUE,,,,,FALSE,PawPath Portable Slow Feeder Lick Mat,"Portable dog slow feeder and lick mat for slower treats, travel breaks, and supervised enrichment.",Animals & Pet Supplies,,,,new,TRUE,,lb,,9.00,active
pawpath-portable-slow-feeder-lick-mat,,,PawPath Supply,,,,TRUE,Color,Sand,,,,,PPS-SFLM-SAND,250,,0,continue,manual,29.95,39.95,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,lb,,9.00,active
trailsip-portable-dog-water-bottle,TrailSip Portable Dog Water Bottle,"<p>Keep fresh water ready during walks, hikes, road trips, and errands. The built-in drinking trough makes hydration easier without carrying a separate bowl.</p><ul><li>One-hand water release design</li><li>Built-in trough for easy drinking</li><li>Leak-resistant travel format</li><li>Fits in most bags and car cup holders</li><li>Ideal for walks, parks, and travel days</li></ul>",PawPath Supply,Animals & Pet Supplies > Pet Supplies,Dog Travel Accessories,"hydration, travel, feeding, bestseller",TRUE,Color,Charcoal,,,,,PPS-WB-CHAR,300,,0,continue,manual,24.95,34.95,TRUE,TRUE,,,,,FALSE,TrailSip Portable Dog Water Bottle,"Portable dog water bottle with built-in trough for walks, hikes, road trips, and everyday outings.",Animals & Pet Supplies,,,,new,TRUE,,lb,,7.00,active
trailsip-portable-dog-water-bottle,,,PawPath Supply,,,,TRUE,Color,Blue,,,,,PPS-WB-BLUE,300,,0,continue,manual,24.95,34.95,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,lb,,7.00,active
roadguard-waterproof-dog-car-seat-cover,RoadGuard Waterproof Dog Car Seat Cover,"<p>Protect your back seat from fur, mud, scratches, and spills after park days and road trips.</p><ul><li>Waterproof seat protection</li><li>Helps reduce fur and dirt buildup</li><li>Quick-install strap design</li><li>Easy to wipe clean</li><li>Great for daily drivers and weekend travelers</li></ul>",PawPath Supply,Animals & Pet Supplies > Pet Supplies,Dog Car Accessories,"car, travel, protection, high-aov",TRUE,Color,Black,,,,,PPS-CSC-BLK,1100,,0,continue,manual,59.95,79.95,TRUE,TRUE,,,,,FALSE,RoadGuard Waterproof Dog Car Seat Cover,"Waterproof dog car seat cover for cleaner back seats after parks, hikes, errands, and road trips.",Animals & Pet Supplies,,,,new,TRUE,,lb,,21.00,active
roadguard-waterproof-dog-car-seat-cover,,,PawPath Supply,,,,TRUE,Color,Gray,,,,,PPS-CSC-GRY,1100,,0,continue,manual,59.95,79.95,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,lb,,21.00,active
saferide-dog-seat-belt-tether,SafeRide Dog Seat Belt Tether,"<p>Add a simple restraint point for car rides. This adjustable tether helps reduce roaming in the back seat during everyday drives.</p><ul><li>Adjustable length</li><li>Clips to compatible harnesses</li><li>Lightweight and compact</li><li>Easy car storage</li><li>Pairs well with the RoadGuard seat cover</li></ul><p><strong>Safety note:</strong> Use with a properly fitted dog harness, not a collar.</p>",PawPath Supply,Animals & Pet Supplies > Pet Supplies,Dog Car Accessories,"car, safety, travel, add-on",TRUE,Color,Black,,,,,PPS-SBT-BLK,120,,0,continue,manual,14.95,19.95,TRUE,TRUE,,,,,FALSE,SafeRide Dog Seat Belt Tether,Adjustable dog seat belt tether for car rides. Use with a properly fitted dog harness.,Animals & Pet Supplies,,,,new,TRUE,,lb,,3.00,active
pocketpup-travel-treat-pouch,PocketPup Travel Treat Pouch,"<p>Keep treats, waste bags, keys, and small essentials close during walks and training sessions.</p><ul><li>Compact daily-walk design</li><li>Easy-access treat compartment</li><li>Clips to waistbands, bags, or leashes</li><li>Helps keep pockets clean</li><li>Great for training, park days, and errands</li></ul>",PawPath Supply,Animals & Pet Supplies > Pet Supplies,Dog Walking Accessories,"walking, training, travel, add-on",TRUE,Color,Forest,,,,,PPS-TTP-FOR,180,,0,continue,manual,19.95,27.95,TRUE,TRUE,,,,,FALSE,PocketPup Travel Treat Pouch,"Compact dog treat pouch for walks, training, park days, and travel essentials.",Animals & Pet Supplies,,,,new,TRUE,,lb,,6.00,active
pocketpup-travel-treat-pouch,,,PawPath Supply,,,,TRUE,Color,Black,,,,,PPS-TTP-BLK,180,,0,continue,manual,19.95,27.95,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,lb,,6.00,active
sniffquest-enrichment-snuffle-mat,SniffQuest Enrichment Snuffle Mat,<p>Make treat time more engaging with a snuffle-style mat that encourages sniffing and searching.</p><ul><li>Encourages natural sniffing behavior</li><li>Great for rainy days and indoor enrichment</li><li>Works with dry treats or kibble</li><li>Foldable for storage</li><li>Easy starter enrichment product</li></ul>,PawPath Supply,Animals & Pet Supplies > Pet Supplies,Dog Toys,"enrichment, indoor, feeding, gift",TRUE,Color,Neutral,,,,,PPS-SM-NEU,450,,0,continue,manual,34.95,44.95,TRUE,TRUE,,,,,FALSE,SniffQuest Enrichment Snuffle Mat,"Dog snuffle mat for treat-search enrichment, rainy days, and indoor activity.",Animals & Pet Supplies,,,,new,TRUE,,lb,,12.00,active
walk-ready-bundle,Walk Ready Bundle,"<p>The quick-start kit for easier daily outings. Includes a portable slow feeder lick mat, TrailSip water bottle, and PocketPup treat pouch.</p><ul><li>Great for walks, park days, and errands</li><li>Combines hydration, treats, and enrichment</li><li>Better value than buying separately</li></ul>",PawPath Supply,Animals & Pet Supplies > Pet Supplies,Dog Travel Bundle,"bundle, travel, feeding, walking",TRUE,Title,Default Title,,,,,PPS-BUNDLE-WALK,730,,0,continue,manual,64.95,74.85,TRUE,TRUE,,,,,FALSE,Walk Ready Bundle,"Dog walking bundle with portable slow feeder, water bottle, and treat pouch for easier daily outings.",Animals & Pet Supplies,,,,new,TRUE,,lb,,22.00,draft
road-trip-bundle,Road Trip Bundle,"<p>Protect the car and keep your dog ready for the road. Includes a waterproof car seat cover, seat belt tether, and TrailSip water bottle.</p><ul><li>Designed for car rides and weekend trips</li><li>Helps reduce mess and back-seat roaming</li><li>Better value than buying separately</li></ul>",PawPath Supply,Animals & Pet Supplies > Pet Supplies,Dog Travel Bundle,"bundle, car, travel, high-aov",TRUE,Title,Default Title,,,,,PPS-BUNDLE-ROAD,1520,,0,continue,manual,84.95,99.85,TRUE,TRUE,,,,,FALSE,Road Trip Bundle,"Dog road trip bundle with waterproof car seat cover, seat belt tether, and portable water bottle.",Animals & Pet Supplies,,,,new,TRUE,,lb,,31.00,draft
